fold,protocol,n_train_clips,n_test_clips,n_train_encs,n_test_encs,sigma,v0,refined,train_ade,test_ade,test_ks_closest,test_p_closest,test_ks_onset,test_p_onset,test_mean_closest_sim,test_mean_closest_real,base_default_test_ade,base_default_test_ks_closest,base_norepulsion_test_ade,base_norepulsion_test_ks_closest,config,dist_metric,w_ade,w_dist,obj_interaction_distance,cap_policy,cap_multiplier
back_interaction_01,loco,25,1,25,1,0.6593507032040994,20.256380073652274,True,0.7590926470414999,1.0250526497109282,1.0,1.0,1.0,0.5,0.9356519620301332,1.8833653007847966,0.8058839090527373,1.0,0.9466336571432996,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
back_interaction_02,loco,25,1,25,1,0.6627013357009901,19.93926049814703,True,0.7737904012331726,0.7820380890022566,1.0,1.0,,,0.7552885406702746,1.7009285782124242,0.5966635808949723,1.0,0.6326807630938399,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
back_interaction_03,loco,25,1,25,1,0.6508866279808496,21.09729330417867,True,0.7530478564396345,1.2814761226212579,1.0,1.0,,,1.2737348825289248,1.5369156336464855,0.7992205887283385,1.0,0.6882816678038618,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
back_interaction_04,loco,25,1,25,1,0.6492622464775213,21.28161115291617,True,0.7762391490378465,0.781613660880047,1.0,1.0,1.0,0.03571428571428571,0.3187974907418015,1.9791169313538657,0.6424979363972976,1.0,0.7044783076347282,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
front_interaction_01,loco,25,1,25,1,1.2776910424232464,3.38188698887825,True,0.6927049341753768,0.4431498712683042,1.0,1.0,,,0.5255397966737445,1.8244252226598607,0.43367553273960613,1.0,0.49773893552499665,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
front_interaction_02,loco,25,1,25,1,1.2617944000754524,3.472048675874248,True,0.6929139717332236,0.5037519600963865,1.0,1.0,,,0.7158812151818612,1.670583471980195,0.46357834193979885,1.0,0.5195566066033669,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
front_interaction_03,loco,25,1,25,1,0.5412538708322554,42.148309876686085,True,0.7911498493892349,1.0283684605139518,1.0,1.0,,,1.1540978282582217,1.6251277300487386,0.5554643635507891,1.0,0.593924113252865,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
front_interaction_04,loco,25,1,25,1,0.5347266143438613,44.2797895628721,True,0.7800003188785528,1.2991028788471541,1.0,1.0,,,0.5118220439745872,1.2795845079619679,0.5843364501830923,1.0,0.5033238693393645,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_01,loco,25,1,25,1,0.4175034961404797,55.69552338927472,True,0.7802936072890602,0.5088740443159517,1.0,1.0,1.0,0.6666666666666666,2.9051717518874853,3.5161238849412983,0.5274935273895979,1.0,0.5541032004291757,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_02,loco,25,1,25,1,1.2795786491630092,3.3714904676680986,True,0.6914709175103984,0.5214856984437622,1.0,1.0,0.6666666666666666,0.39999999999999997,1.477507570350322,2.045594581436094,0.571193286012159,1.0,0.690945740420361,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_03,loco,25,1,25,1,0.6716855458915246,19.83933059871192,True,0.7800710952256511,0.6966471508000502,1.0,1.0,,,3.2729883828265445,3.131501049816212,0.6937496664794734,1.0,0.7004470448420381,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_04,loco,25,1,25,1,0.6611515558754906,20.08498710572929,True,0.7762690923815896,0.7041161781051545,1.0,1.0,,,0.7028696708908925,1.8316512159431382,0.6530435071221617,1.0,0.6995123621772535,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_05,loco,25,1,25,1,0.41952912774407347,55.26617455027491,True,0.7647046134753493,0.8376494787036545,1.0,1.0,,,2.966832631442709,3.2901730312226545,0.8394568668640287,1.0,0.8491800848432438,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_06,loco,25,1,25,1,0.6533699035644511,20.8445343017578,True,0.7733177427645432,0.8196473123448118,1.0,1.0,,,3.9717506010256662,3.8536711881859564,0.821487887660755,1.0,0.8184169920868487,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_07,loco,25,1,25,1,1.1957253985696286,3.898039389299811,True,0.6869818560305967,0.7687088897283794,1.0,1.0,,,3.6435133579735113,3.758762311391431,0.7835296178867255,1.0,0.788424051505227,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_08,loco,25,1,25,1,0.6627188115758709,19.93761612800708,True,0.7802984889573458,0.6219021826019493,1.0,1.0,0.75,0.6666666666666666,0.8454945478495641,2.10629903520187,0.6980066170355413,1.0,0.8827145370892481,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_09,loco,25,1,25,1,0.5328023934515522,30.075004746982916,True,0.7641959866041304,0.8594822143373483,1.0,1.0,,,3.1615140187075887,3.2384624957649324,0.8729631891959129,1.0,0.8849141315940121,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
bidirection_normal_driving_10,loco,25,1,25,1,0.6593448421397778,20.25695184701198,True,0.7746882161197332,0.7759852683718246,1.0,1.0,1.0,0.25,1.1641574558958894,2.1729557701409186,0.5408166541814122,1.0,0.685052060598537,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_normal_driving_01,loco,25,1,25,1,0.6489944838581043,21.347557738659724,True,0.7806910648751892,0.5989144036501506,1.0,1.0,1.0,0.5,1.7851442697499376,1.893435942593816,0.5633397770427037,1.0,0.565008363608319,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_normal_driving_02,loco,25,1,25,1,1.2797871485294294,3.3703094443044392,True,0.6956014768642542,0.31843533406966773,1.0,1.0,,,1.8000286908060232,1.8420032649547498,0.3049243881996517,1.0,0.3161367114748682,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_normal_driving_03,loco,25,1,25,1,0.6489931719598405,21.347842258868326,True,0.7791480967750577,0.6828500397754158,1.0,1.0,,,2.0626658159678004,2.636523528880489,0.6794842442629775,1.0,0.7064486361742974,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_normal_driving_04,loco,25,1,25,1,1.2893122408539073,3.3189022028818727,True,0.6886311147337248,0.5327739041220708,1.0,1.0,,,1.199622961043654,1.8351231223010664,0.4804360769489825,1.0,0.5202388058344253,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_yeild_01,loco,25,1,25,1,0.6489939836159718,21.347629847997247,True,0.7889460024470101,0.38479728690410653,1.0,1.0,,,3.0388398594820174,2.8212980557835885,0.3620810514653124,1.0,0.3655459889480031,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_yeild_02,loco,25,1,25,1,0.6506384336620645,21.125339849640305,True,0.7969685215079667,0.23509671637680316,1.0,1.0,,,4.520724177176415,4.730170665874129,0.23667713210869581,1.0,0.23772489265167734,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_yeild_03,loco,25,1,25,1,0.5626108936813098,27.449750209100035,True,0.7554852395796225,1.14973817949176,1.0,1.0,,,3.647516833959745,3.6269931394532455,1.1589921004804686,1.0,1.164977784961583,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
unidirection_yeild_04,loco,25,1,25,1,0.6729471957511783,19.68201098981759,True,0.7686547234074189,0.9496438095100149,1.0,1.0,,,3.4551376951486437,3.2146620885863935,0.94896693805242,1.0,0.9531044864670771,1.0,w1_id8,emd,1.0,1.0,8.0,median,1.3
